date;time;kinds;mode;duration
2021/06/21 ;17:51:07;2;1;0:00:00.238373
2021/06/21 ;17:52:24;2;2;0:01:16.787473
2021/06/21 ;17:52:24;1;2;0:01:17.935463
2021/06/21 ;17:55:38;2;2;0:00:05.967699
2021/06/21 ;17:55:38;1;2;0:00:05.970950
2021/06/21 ;17:56:48;1;1;0:00:05.970950
2021/06/21 ;17:58:19;1;2;0:01:30.679955
2021/06/21 ;18:08:40;1;2;0:00:00.213279
2021/06/21 ;18:08:40;2;2;0:00:00.211816
2021/06/22 ;09:23:09;1;2;0:00:00.206448
2021/06/22 ;09:23:09;2;2;0:00:00.216685
2021/06/22 ;09:44:21;2;2;0:00:00.208368
2021/06/22 ;09:44:21;1;2;0:00:00.211645
2021/06/22 ;09:46:25;1;1;0:00:00.211645
2021/06/22 ;09:46:26;2;1;0:00:00.208368
2021/06/22 ;09:50:48;2;2;0:04:21.758859
2021/06/22 ;09:50:48;1;2;0:04:23.659692
2021/06/22 ;10:06:46;2;2;0:00:00.232868
2021/06/22 ;10:06:46;1;2;0:00:00.234635
2021/06/22 ;11:10:07;2;2;0:00:00.194040
2021/06/22 ;11:10:07;1;2;0:00:00.209339
2021/06/22 ;11:12:55;1;2;0:00:00.205667
2021/06/22 ;11:12:55;2;2;0:00:00.208357
2021/06/22 ;11:16:09;1;2;0:00:00.208273
2021/06/22 ;11:16:09;2;2;0:00:00.219676
2021/06/22 ;11:16:45;1;1;0:00:00.208273
2021/06/22 ;11:16:47;2;1;0:00:00.219676
2021/06/22 ;11:17:58;1;2;0:01:13.466643
2021/06/22 ;11:18:04;2;2;0:01:16.982063
2021/06/22 ;11:22:11;2;2;0:00:00.215379
2021/06/22 ;11:22:11;1;2;0:00:00.230975
2021/06/22 ;11:33:50;2;2;0:00:00.213776
2021/06/22 ;11:33:50;1;2;0:00:00.212177
2021/06/22 ;11:37:21;2;2;0:00:00.217627
2021/06/22 ;11:37:21;1;2;0:00:00.240430
2021/06/22 ;11:43:38;2;2;0:00:00.255911
2021/06/22 ;11:43:38;1;2;0:00:00.257228
2021/06/22 ;17:36:48;2;2;0:00:00.253940
2021/06/22 ;17:36:48;1;2;0:00:00.257532
2021/06/22 ;17:41:52;2;2;0:00:00.249028
2021/06/22 ;17:41:52;1;2;0:00:00.251362
2021/06/22 ;18:02:10;2;2;0:00:00.208659
2021/06/22 ;18:02:10;1;2;0:00:00.214760
2021/06/23 ;11:19:53;2;2;0:00:00.195982
2021/06/23 ;11:19:53;1;2;0:00:00.232812
2021/06/23 ;17:37:00;1;2;0:00:00.342971
2021/06/23 ;17:37:00;2;2;0:00:00.163567
2021/06/24 ;10:19:45;2;2;0:00:00.309560
2021/06/24 ;10:19:45;1;2;0:00:00.313274
2021/06/24 ;10:53:47;1;2;0:00:00.214338
2021/06/24 ;10:53:47;2;2;0:00:00.214054
2021/06/24 ;14:14:39;1;2;0:00:00.228368
2021/06/24 ;14:14:39;2;2;0:00:00.228267
2021/06/29 ;13:18:16;1;1;0:00:00.228368
2021/06/29 ;13:18:25;1;2;0:00:09.253809
2021/06/29 ;13:19:30;2;2;0:00:00.208954
2021/06/29 ;13:19:30;1;2;0:00:00.208243
2021/06/29 ;13:21:50;2;1;0:00:00.208954
2021/06/29 ;13:21:51;1;1;0:00:00.208243
2021/06/29 ;13:23:01;2;2;0:01:10.820230
2021/06/29 ;13:23:02;1;2;0:01:11.323148
2021/06/29 ;14:20:51;1;1;0:01:11.323148
2021/06/29 ;14:22:10;1;2;0:01:18.735269
2021/06/29 ;14:30:56;1;1;0:01:18.735269
2021/06/29 ;14:33:25;1;2;0:02:29.275831
2021/06/29 ;14:59:41;1;2;0:00:00.169490
2021/06/29 ;14:59:41;2;2;0:00:00.194107
2021/06/29 ;15:02:21;2;2;0:00:00.184771
2021/06/29 ;15:02:21;1;2;0:00:00.188741
2021/06/29 ;15:31:07;2;2;0:00:00.159659
2021/06/29 ;15:32:17;1;2;0:00:00.154662
2021/06/29 ;15:32:17;2;2;0:00:00.159498
